,year,mon.day,date,river,bank,species,fish.count,comments,run_desc,run,maturity,proj.id,proj,count.type
162,2023,17-Aug,8/17/23,George River,Entire Channel,Chum,132,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
163,2023,18-Aug,8/18/23,George River,Entire Channel,Chum,144,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
164,2023,19-Aug,8/19/23,George River,Entire Channel,Chum,87,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
165,2023,20-Aug,8/20/23,George River,Entire Channel,Chum,155,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
166,2023,21-Aug,8/21/23,George River,Entire Channel,Chum,99,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
167,2023,22-Aug,8/22/23,George River,Entire Channel,Chum,46,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
168,2023,23-Aug,8/23/23,George River,Entire Channel,Chum,77,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
169,2023,24-Aug,8/24/23,George River,Entire Channel,Chum,25,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
170,2023,25-Aug,8/25/23,George River,Entire Channel,Chum,60,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
171,2023,26-Aug,8/26/23,George River,Entire Channel,Chum,68,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
172,2023,27-Aug,8/27/23,George River,Entire Channel,Chum,37,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
173,2023,28-Aug,8/28/23,George River,Entire Channel,Chum,27,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
174,2023,29-Aug,8/29/23,George River,Entire Channel,Chum,31,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
175,2023,30-Aug,8/30/23,George River,Entire Channel,Chum,15,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
176,2023,31-Aug,8/31/23,George River,Entire Channel,Chum,6,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
177,2023,1-Sep,9/1/23,George River,Entire Channel,Chum,10,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
178,2023,2-Sep,9/2/23,George River,Entire Channel,Chum,1,,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
179,2023,3-Sep,9/3/23,George River,Entire Channel,Chum,3,partial,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
180,2023,4-Sep,9/4/23,George River,Entire Channel,Chum,NA,inoperable,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
181,2023,5-Sep,9/5/23,George River,Entire Channel,Chum,NA,inoperable,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
182,2023,6-Sep,9/6/23,George River,Entire Channel,Chum,NA,inoperable,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
183,2023,7-Sep,9/7/23,George River,Entire Channel,Chum,NA,inoperable,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
184,2023,8-Sep,9/8/23,George River,Entire Channel,Chum,NA,inoperable,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
185,2023,9-Sep,9/9/23,George River,Entire Channel,Chum,NA,inoperable,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
186,2023,10-Sep,9/10/23,George River,Entire Channel,Chum,NA,inoperable,use for everything BUT Yukon chum,Single Run,Adult,17,George River Escapement,Counted Live
