"","year","mon.day","date","district","river","bank","species","fish.count","comments","run_desc","run","maturity","proj.id","proj","header.comment","pyd.id","count.type","usage"
"90",2023,"12-Sep","9/12/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",NA,"inoperable","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"91",2023,"13-Sep","9/13/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",NA,"inoperable","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"92",2023,"14-Sep","9/14/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"93",2023,"15-Sep","9/15/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"94",2023,"16-Sep","9/16/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"95",2023,"17-Sep","9/17/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"96",2023,"18-Sep","9/18/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"97",2023,"19-Sep","9/19/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"98",2023,"20-Sep","9/20/23 0:00","Kuskokwim","George River","Entire Channel","Chinook",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"99",2023,"15-Jun","6/15/23 0:00","Kuskokwim","George River","Entire Channel","Chum",NA,"inoperable","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"100",2023,"16-Jun","6/16/23 0:00","Kuskokwim","George River","Entire Channel","Chum",NA,"inoperable","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"101",2023,"17-Jun","6/17/23 0:00","Kuskokwim","George River","Entire Channel","Chum",NA,"inoperable","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"102",2023,"18-Jun","6/18/23 0:00","Kuskokwim","George River","Entire Channel","Chum",0,"partial","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"103",2023,"19-Jun","6/19/23 0:00","Kuskokwim","George River","Entire Channel","Chum",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"104",2023,"20-Jun","6/20/23 0:00","Kuskokwim","George River","Entire Channel","Chum",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"105",2023,"21-Jun","6/21/23 0:00","Kuskokwim","George River","Entire Channel","Chum",2,"partial","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"106",2023,"22-Jun","6/22/23 0:00","Kuskokwim","George River","Entire Channel","Chum",0,"partial","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"107",2023,"23-Jun","6/23/23 0:00","Kuskokwim","George River","Entire Channel","Chum",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"108",2023,"24-Jun","6/24/23 0:00","Kuskokwim","George River","Entire Channel","Chum",1,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"109",2023,"25-Jun","6/25/23 0:00","Kuskokwim","George River","Entire Channel","Chum",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"110",2023,"26-Jun","6/26/23 0:00","Kuskokwim","George River","Entire Channel","Chum",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"111",2023,"27-Jun","6/27/23 0:00","Kuskokwim","George River","Entire Channel","Chum",0,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"112",2023,"28-Jun","6/28/23 0:00","Kuskokwim","George River","Entire Channel","Chum",4,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"113",2023,"29-Jun","6/29/23 0:00","Kuskokwim","George River","Entire Channel","Chum",16,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"114",2023,"30-Jun","6/30/23 0:00","Kuskokwim","George River","Entire Channel","Chum",33,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"115",2023,"1-Jul","7/1/23 0:00","Kuskokwim","George River","Entire Channel","Chum",24,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
"116",2023,"2-Jul","7/2/23 0:00","Kuskokwim","George River","Entire Channel","Chum",38,"","use for everything BUT Yukon chum","Single Run","Adult",17,"George River Escapement",NA,31841,"Counted Live","undefined"
